generation,time,memory_usage_MB,cpu_usage_percent
0,0.08843088150024414,10402.0625,20.9
0,0.02562427520751953,10351.34375,16.8
0,0.03522086143493652,10267.484375,14.3
0,0.031491756439208984,10388.296875,25.1
0,0.027144908905029297,10204.953125,22.5
0,0.023550987243652344,10128.15625,17.2
0,0.028608083724975586,10346.765625,20.2
0,0.04512596130371094,10353.34375,22.3
0,0.04388785362243652,10302.921875,16.1
0,0.05460000038146973,10298.234375,21.5
0,0.03930926322937012,10299.796875,13.5
0,0.04275703430175781,10199.578125,14.2
0,0.04486513137817383,10143.75,13.4
0,0.04876971244812012,10221.015625,12.7
0,0.04543924331665039,10219.0,12.8
0,0.04953193664550781,10214.15625,12.6
0,0.05571699142456055,10233.328125,11.9
0,0.047804832458496094,10238.265625,11.8
0,0.05453968048095703,10296.421875,13.7
0,0.036672115325927734,10256.796875,13.7
1,0.025238990783691406,10292.03125,17.1
1,0.04719281196594238,10261.3125,16.9
1,0.058673858642578125,10267.4375,13.5
1,0.03868508338928223,10311.953125,24.6
1,0.047144174575805664,10255.15625,18.4
1,0.04903697967529297,10343.25,18.6
1,0.03678774833679199,10320.8125,16.8
1,0.05366921424865723,10316.015625,14.8
1,0.05125880241394043,10303.03125,16.6
1,0.05647110939025879,10253.875,12.5
1,0.058210134506225586,10295.4375,17.3
1,0.03450489044189453,10279.8125,13.2
1,0.05291008949279785,10311.203125,12.9
1,0.053157806396484375,10315.28125,13.7
1,0.06716322898864746,10298.65625,14.4
1,0.05483508110046387,10302.953125,12.1
1,0.08275103569030762,10321.859375,13.1
1,0.0606381893157959,10316.53125,15.8
1,0.025809049606323242,10295.15625,13.1
1,0.04524683952331543,10299.78125,15.0
1,0.046089887619018555,10298.234375,18.4
1,0.04456591606140137,10244.625,15.7
1,0.03874707221984863,10258.625,14.4
1,0.0276181697845459,10262.3125,13.3
1,0.04685497283935547,10305.78125,12.1
1,0.04059886932373047,10299.6875,12.4
1,0.044085025787353516,10302.71875,16.7
1,0.048478126525878906,10309.453125,19.2
1,0.05750608444213867,10231.65625,13.1
1,0.06780695915222168,10278.65625,16.3
1,0.045649051666259766,10319.03125,13.6
1,0.07006287574768066,10291.921875,14.2
1,0.054720163345336914,10296.0,12.3
1,0.05424094200134277,10297.75,11.5
1,0.053759098052978516,10291.3125,11.5
1,0.05679678916931152,10283.40625,11.4
1,0.050462961196899414,10288.015625,13.4
1,0.03150200843811035,10269.328125,12.0
1,0.04976511001586914,10291.4375,11.2
